iter, cut, min_cut, runtime
0, 4, 4, 54057
1, 5, 4, 45536
2, 5, 4, 49168
3, 3, 3, 38972
4, 4, 3, 48260
5, 5, 3, 39041
6, 4, 3, 42394
7, 6, 3, 46444
8, 5, 3, 41555
9, 7, 3, 39530
10, 3, 3, 45815
11, 6, 3, 39600
12, 6, 3, 39600
13, 6, 3, 47772
14, 5, 3, 51822
15, 8, 3, 41137
16, 2, 2, 50007
17, 4, 2, 39879
18, 4, 2, 48399
19, 5, 2, 39250
20, 5, 2, 39041
21, 2, 2, 46235
22, 3, 2, 41905
23, 5, 2, 41834
24, 6, 2, 42533
25, 2, 2, 45187
26, 5, 2, 48260
27, 4, 2, 49657
28, 4, 2, 41486
29, 2, 2, 43930
30, 2, 2, 47282
31, 6, 2, 40857
32, 3, 2, 49657
33, 4, 2, 39180
34, 4, 2, 42324
35, 7, 2, 40368
36, 3, 2, 40997
37, 3, 2, 43860
38, 5, 2, 40019
39, 4, 2, 44000
40, 4, 2, 50984
41, 11, 2, 39250
42, 5, 2, 40926
43, 2, 2, 51613
44, 3, 2, 41346
45, 7, 2, 40088
46, 7, 2, 37504
47, 5, 2, 42323
48, 6, 2, 43022
49, 4, 2, 41905
50, 4, 2, 44838
51, 5, 2, 41905
52, 5, 2, 43022
53, 3, 2, 42114
54, 5, 2, 38552
55, 7, 2, 43302
56, 2, 2, 42044
57, 3, 2, 40927
58, 2, 2, 40368
59, 9, 2, 40508
60, 3, 2, 39949
61, 5, 2, 41136
62, 4, 2, 41835
63, 4, 2, 44698
64, 3, 2, 42673
65, 4, 2, 40019
66, 6, 2, 44000
67, 5, 2, 41905
68, 6, 2, 40578
69, 6, 2, 50775
70, 7, 2, 42463
71, 2, 2, 41415
72, 8, 2, 40438
73, 3, 2, 45816
74, 4, 2, 39041
75, 2, 2, 39530
76, 5, 2, 43721
77, 2, 2, 44279
78, 3, 2, 47212
79, 4, 2, 42882
80, 5, 2, 41066
81, 3, 2, 43860
82, 7, 2, 41556
83, 4, 2, 41346
84, 5, 2, 37575
85, 2, 2, 42603
86, 8, 2, 43651
87, 4, 2, 38831
88, 4, 2, 45815
89, 2, 2, 45187
90, 9, 2, 46235
91, 4, 2, 49727
92, 9, 2, 43162
93, 6, 2, 52940
94, 5, 2, 48121
95, 5, 2, 39041
96, 2, 2, 42464
97, 5, 2, 40229
98, 5, 2, 47213
99, 4, 2, 50635
100, 6, 2, 63834
101, 2, 2, 56292
102, 4, 2, 46235
103, 2, 2, 45536
104, 2, 2, 38133
105, 6, 2, 39740
106, 2, 2, 42813
107, 5, 2, 45397
108, 3, 2, 41067
109, 2, 2, 42882
110, 6, 2, 41485
111, 4, 2, 38133
112, 6, 2, 40507
113, 6, 2, 41485
114, 7, 2, 37085
115, 5, 2, 45257
116, 5, 2, 40997
117, 3, 2, 39949
118, 9, 2, 49168
119, 7, 2, 39530
120, 8, 2, 41415
121, 5, 2, 46514
122, 5, 2, 39600
123, 3, 2, 39530
124, 5, 2, 35270
125, 3, 2, 40089
126, 5, 2, 38972
127, 7, 2, 41835
128, 4, 2, 40996
129, 4, 2, 41066
130, 6, 2, 45187
131, 4, 2, 42533
132, 2, 2, 46235
133, 4, 2, 43511
134, 4, 2, 39111
135, 4, 2, 45816
136, 2, 2, 41835
137, 4, 2, 46374
138, 5, 2, 43301
139, 6, 2, 46235
140, 6, 2, 41486
141, 7, 2, 39111
142, 5, 2, 39669
143, 3, 2, 40927
144, 3, 2, 44908
145, 5, 2, 39740
146, 4, 2, 47561
147, 2, 2, 47841
148, 4, 2, 42394
149, 2, 2, 39949
150, 5, 2, 45117
151, 5, 2, 50634
152, 2, 2, 41905
153, 3, 2, 44000
154, 5, 2, 41834
155, 3, 2, 42603
156, 5, 2, 48260
157, 4, 2, 46794
158, 4, 2, 40927
159, 6, 2, 40508
160, 2, 2, 46375
161, 6, 2, 42743
162, 3, 2, 44000
163, 4, 2, 40996
164, 2, 2, 42044
165, 4, 2, 48399
166, 4, 2, 42882
167, 2, 2, 37923
168, 4, 2, 45676
169, 6, 2, 41136
170, 5, 2, 44209
171, 5, 2, 45955
172, 4, 2, 45326
173, 4, 2, 43022
174, 6, 2, 37575
175, 4, 2, 42394
176, 5, 2, 44000
177, 9, 2, 41345
178, 4, 2, 42184
