iter, cut, min_cut, runtime
0, 2, 2, 48261
1, 1, 1, 72564
2, 3, 1, 63904
3, 1, 1, 55803
4, 1, 1, 64812
5, 2, 1, 53218
6, 1, 1, 57689
7, 3, 1, 50006
8, 1, 1, 43371
9, 1, 1, 47841
10, 1, 1, 41835
11, 1, 1, 67187
12, 1, 1, 41625
13, 1, 1, 43790
14, 2, 1, 43022
15, 2, 1, 63975
16, 1, 1, 52870
17, 1, 1, 49098
18, 1, 1, 55314
19, 1, 1, 48120
20, 1, 1, 63276
21, 1, 1, 49587
22, 2, 1, 42882
23, 1, 1, 64742
24, 1, 1, 53288
25, 1, 1, 58666
26, 2, 1, 56781
27, 1, 1, 46724
28, 1, 1, 59784
29, 1, 1, 56222
30, 1, 1, 55873
31, 1, 1, 57758
32, 2, 1, 45955
33, 3, 1, 42044
34, 1, 1, 44489
35, 2, 1, 45187
36, 3, 1, 40577
37, 1, 1, 42393
38, 2, 1, 41346
39, 1, 1, 67047
40, 1, 1, 52939
41, 1, 1, 40438
42, 2, 1, 60482
43, 1, 1, 50425
44, 1, 1, 50914
45, 1, 1, 61530
46, 1, 1, 45675
47, 1, 1, 49657
48, 3, 1, 38133
49, 1, 1, 46375
50, 1, 1, 45676
51, 1, 1, 37225
52, 1, 1, 55383
53, 2, 1, 41974
54, 1, 1, 46305
55, 1, 1, 59574
56, 1, 1, 49936
57, 1, 1, 54267
58, 1, 1, 48050
59, 1, 1, 67118
60, 1, 1, 52939
61, 1, 1, 53568
62, 1, 1, 54895
63, 1, 1, 56641
64, 1, 1, 48609
65, 1, 1, 88209
66, 2, 1, 47212
67, 4, 1, 46165
68, 1, 1, 66838
69, 2, 1, 53288
70, 1, 1, 51822
71, 1, 1, 77663
72, 1, 1, 44768
73, 1, 1, 46095
74, 1, 1, 38622
75, 5, 1, 37504
76, 1, 1, 43161
77, 1, 1, 46374
78, 1, 1, 72355
79, 1, 1, 51124
80, 2, 1, 49587
81, 1, 1, 56641
82, 1, 1, 48190
83, 1, 1, 56711
84, 1, 1, 40088
85, 2, 1, 49937
86, 1, 1, 49168
87, 1, 1, 46654
88, 1, 1, 45396
89, 1, 1, 56431
90, 3, 1, 58318
91, 1, 1, 58107
92, 1, 1, 47073
93, 2, 1, 49238
94, 1, 1, 44209
95, 2, 1, 41346
96, 2, 1, 57689
97, 1, 1, 55314
98, 2, 1, 46584
99, 1, 1, 59295
100, 2, 1, 47282
101, 3, 1, 45676
102, 1, 1, 46375
103, 3, 1, 49727
104, 1, 1, 54127
105, 4, 1, 43930
106, 2, 1, 50495
107, 1, 1, 44768
108, 4, 1, 57688
109, 1, 1, 68304
110, 1, 1, 68235
111, 1, 1, 60622
112, 1, 1, 45466
113, 2, 1, 49168
114, 3, 1, 49657
115, 2, 1, 52939
116, 1, 1, 48050
117, 1, 1, 47771
118, 1, 1, 61251
119, 1, 1, 48051
120, 1, 1, 49936
121, 2, 1, 335307
122, 1, 1, 47143
123, 1, 1, 48330
124, 1, 1, 54476
125, 1, 1, 46933
126, 1, 1, 45676
127, 2, 1, 43301
128, 1, 1, 56502
129, 3, 1, 41346
130, 1, 1, 48679
131, 1, 1, 55244
132, 1, 1, 132209
133, 3, 1, 44279
134, 2, 1, 38762
135, 1, 1, 66768
136, 2, 1, 50356
137, 1, 1, 79060
138, 1, 1, 46654
139, 1, 1, 57689
140, 2, 1, 59854
141, 1, 1, 44838
142, 1, 1, 52311
143, 1, 1, 55314
144, 1, 1, 52241
145, 1, 1, 40926
146, 2, 1, 44907
147, 1, 1, 51054
148, 1, 1, 62996
149, 1, 1, 45326
150, 1, 1, 61041
151, 1, 1, 44489
152, 2, 1, 40019
153, 2, 1, 44978
154, 1, 1, 48819
155, 1, 1, 44908
156, 1, 1, 46165
157, 1, 1, 54755
158, 1, 1, 60553
159, 2, 1, 57339
160, 2, 1, 51123
161, 1, 1, 39530
162, 1, 1, 53358
163, 2, 1, 46864
164, 2, 1, 57828
165, 1, 1, 179910
166, 1, 1, 53917
167, 1, 1, 44838
168, 1, 1, 73333
169, 2, 1, 46234
170, 1, 1, 48539
171, 1, 1, 45885
172, 1, 1, 52590
173, 1, 1, 52870
174, 2, 1, 55803
175, 4, 1, 44419
176, 2, 1, 47143
177, 1, 1, 43301
178, 1, 1, 47841
179, 1, 1, 41066
180, 1, 1, 46235
181, 1, 1, 58108
182, 2, 1, 56152
183, 1, 1, 51333
184, 1, 1, 51333
185, 1, 1, 45606
186, 1, 1, 51962
187, 2, 1, 44000
188, 1, 1, 45187
189, 2, 1, 57410
190, 2, 1, 49727
191, 1, 1, 50146
192, 1, 1, 53917
193, 1, 1, 48399
194, 1, 1, 45606
195, 1, 1, 39530
196, 1, 1, 65371
197, 2, 1, 42603
198, 3, 1, 41346
199, 1, 1, 54756
200, 2, 1, 47283
201, 1, 1, 47143
202, 2, 1, 41625
203, 1, 1, 49796
204, 1, 1, 46164
205, 4, 1, 46235
206, 2, 1, 59993
207, 1, 1, 44628
208, 1, 1, 49727
209, 1, 1, 54406
210, 1, 1, 74729
211, 2, 1, 67745
212, 2, 1, 45187
213, 1, 1, 59435
214, 1, 1, 42463
215, 1, 1, 63416
216, 1, 1, 62438
217, 1, 1, 48679
218, 1, 1, 44907
219, 1, 1, 59085
220, 2, 1, 43860
221, 2, 1, 121593
222, 1, 1, 59085
223, 1, 1, 58597
224, 1, 1, 39739
225, 1, 1, 41276
226, 1, 1, 53009
227, 2, 1, 50145
228, 1, 1, 57339
229, 1, 1, 49028
230, 2, 1, 47911
231, 3, 1, 49168
232, 2, 1, 52869
233, 1, 1, 72495
234, 2, 1, 44698
235, 1, 1, 41835
236, 1, 1, 40368
237, 1, 1, 50076
238, 2, 1, 43860
239, 1, 1, 44699
240, 1, 1, 49867
241, 2, 1, 49936
242, 1, 1, 53918
243, 1, 1, 52520
244, 2, 1, 46375
245, 3, 1, 43301
246, 2, 1, 40158
247, 3, 1, 60064
248, 1, 1, 49238
249, 1, 1, 57409
250, 1, 1, 56921
251, 1, 1, 53009
252, 1, 1, 54406
253, 1, 1, 51194
254, 3, 1, 47213
